"","fips","location","rpl_themes","e_pov150","e_unemp","e_hburd","e_nohsdp","e_uninsur","e_age65","e_age17","e_disabl","e_sngpnt","e_limeng","e_minrty","e_munit","e_mobile","e_crowd","e_noveh","e_groupq"
"34","44003021401","Census Tract 214.01; Kent County; Rhode Island",0.1796,251,110,269,241,300,749,697,496,54,28,497,59,0,0,58,41
"35","44003021402","Census Tract 214.02; Kent County; Rhode Island",0.6653,545,272,473,303,200,537,949,450,45,6,468,172,15,7,45,37
"36","44003021501","Census Tract 215.01; Kent County; Rhode Island",0.6,559,191,473,202,110,570,494,699,71,87,508,14,0,14,74,24
"37","44003021502","Census Tract 215.02; Kent County; Rhode Island",0.2694,741,109,449,350,155,823,734,743,36,0,394,51,0,0,38,13
"38","44003021600","Census Tract 216; Kent County; Rhode Island",0.1143,109,22,159,58,19,505,294,287,0,5,173,0,0,4,14,7
"39","44003021700","Census Tract 217; Kent County; Rhode Island",0.302,723,276,641,300,126,1036,871,686,91,66,801,0,0,0,35,12
"40","44003021800","Census Tract 218; Kent County; Rhode Island",0.6531,586,10,580,440,132,1145,555,715,56,107,667,576,0,37,187,13
"41","44003021901","Census Tract 219.01; Kent County; Rhode Island",0.3429,490,53,432,290,51,529,801,454,77,57,802,58,0,0,40,0
"42","44003021902","Census Tract 219.02; Kent County; Rhode Island",0.2735,213,126,287,273,150,497,531,280,15,13,471,176,0,65,54,34
"43","44003021903","Census Tract 219.03; Kent County; Rhode Island",0.1469,218,55,258,112,102,906,686,642,63,16,421,43,0,10,93,10
"44","44003022000","Census Tract 220; Kent County; Rhode Island",0.4653,569,27,462,60,128,832,555,482,57,0,590,382,0,13,105,128
"45","44003022100","Census Tract 221; Kent County; Rhode Island",0.351,657,33,800,319,66,1310,1082,862,101,5,830,218,0,0,89,169
"46","44003022201","Census Tract 222.01; Kent County; Rhode Island",0.1918,887,147,664,141,359,1267,1457,728,81,42,960,622,0,0,119,5
"47","44003022202","Census Tract 222.02; Kent County; Rhode Island",0.7143,947,160,1271,346,45,1428,390,970,111,6,514,1590,0,12,329,113
"48","44003022300","Census Tract 223; Kent County; Rhode Island",0.8408,1105,130,710,343,189,1107,659,1099,19,50,919,872,130,100,377,11
"49","44003022400","Census Tract 224; Kent County; Rhode Island",0.0408,248,26,431,70,44,704,255,250,12,0,94,83,0,0,14,0
"50","44005040101","Census Tract 401.01; Newport County; Rhode Island",0.4082,505,167,235,122,204,1140,965,631,25,8,548,0,49,10,95,207
"51","44005040102","Census Tract 401.02; Newport County; Rhode Island",0.0082,329,72,414,238,35,1546,1045,490,24,0,238,70,0,0,22,8
"52","44005040104","Census Tract 401.04; Newport County; Rhode Island",0.1837,245,49,471,111,81,1394,1200,435,85,3,830,240,180,0,134,58
"53","44005040105","Census Tract 401.05; Newport County; Rhode Island",0.3673,248,45,124,61,21,380,290,329,17,13,111,109,0,0,73,100
"54","44005040200","Census Tract 402; Newport County; Rhode Island",0.2612,179,17,200,30,61,91,358,83,51,0,910,11,0,6,6,6
"55","44005040302","Census Tract 403.02; Newport County; Rhode Island",0.6776,403,121,286,137,280,593,618,345,34,155,1147,71,116,0,73,11
"56","44005040303","Census Tract 403.03; Newport County; Rhode Island",0.4612,613,79,455,113,53,423,740,345,294,13,693,288,0,0,18,34
"57","44005040304","Census Tract 403.04; Newport County; Rhode Island",0.8,439,84,415,307,177,823,510,486,72,103,930,326,73,27,207,85
"58","44005040400","Census Tract 404; Newport County; Rhode Island",0.2245,437,93,520,178,107,1910,930,729,68,40,352,188,90,0,56,196
"59","44005040500","Census Tract 405; Newport County; Rhode Island",0.8776,1274,172,668,366,254,466,1362,955,452,225,1695,346,0,67,347,7
"60","44005040600","Census Tract 406; Newport County; Rhode Island",0.4857,1079,281,602,73,224,878,525,580,138,40,1210,154,0,0,285,10
"61","44005040700","Census Tract 407; Newport County; Rhode Island",0.1306,346,182,416,79,194,1067,264,347,14,0,442,0,0,0,56,24
"62","44005040800","Census Tract 408; Newport County; Rhode Island",0.5959,494,174,413,93,77,705,189,288,23,15,342,251,0,0,274,209
"63","44005040900","Census Tract 409; Newport County; Rhode Island",0.4204,555,232,455,34,248,1023,569,387,61,143,598,115,0,22,42,1382
"64","44005041000","Census Tract 410; Newport County; Rhode Island",0.6041,326,84,263,152,93,488,60,246,13,27,458,385,0,0,327,113
"65","44005041100","Census Tract 411; Newport County; Rhode Island",0.5551,263,128,323,32,43,413,219,120,18,0,482,223,0,24,80,0
"66","44005041200","Census Tract 412; Newport County; Rhode Island",0.8327,239,26,101,43,61,52,303,151,80,13,857,101,0,2,47,1226
"67","44005041300","Census Tract 413; Newport County; Rhode Island",0.0694,467,189,492,103,32,1836,782,504,0,0,283,47,47,0,84,21
"68","44005041400","Census Tract 414; Newport County; Rhode Island",0.0898,255,123,230,62,76,1302,454,341,52,0,85,0,44,8,70,0
"69","44005041601","Census Tract 416.01; Newport County; Rhode Island",0.4449,617,62,317,230,182,474,561,469,68,75,262,214,0,59,74,0
"70","44005041602","Census Tract 416.02; Newport County; Rhode Island",0.2041,373,95,286,169,195,1454,597,573,51,0,531,251,0,12,154,78
"71","44005041701","Census Tract 417.01; Newport County; Rhode Island",0.5796,430,29,444,344,145,1047,507,553,0,59,388,164,115,36,99,13
"72","44005041702","Census Tract 417.02; Newport County; Rhode Island",0.1592,140,402,193,257,158,916,813,228,5,40,135,16,163,9,12,16
"73","44007000101","Census Tract 1.01; Providence County; Rhode Island",0.9224,1373,317,598,811,101,706,830,715,201,379,2786,0,44,36,99,690
"74","44007000102","Census Tract 1.02; Providence County; Rhode Island",0.7837,1306,235,675,803,221,695,1105,839,242,904,4804,157,0,78,91,5
"75","44007000200","Census Tract 2; Providence County; Rhode Island",0.8531,2896,182,1221,985,643,569,1471,1586,196,1901,5924,359,0,0,483,45
"76","44007000301","Census Tract 3.01; Providence County; Rhode Island",0.9184,1053,119,427,251,151,185,568,662,170,546,2482,133,0,113,199,97
"77","44007000302","Census Tract 3.02; Providence County; Rhode Island",0.8653,1671,114,851,919,868,431,1605,550,186,1460,4739,163,0,48,145,29
"78","44007000400","Census Tract 4; Providence County; Rhode Island",0.9388,2148,368,626,798,528,511,1370,415,268,834,4076,0,0,74,237,81
"79","44007000500","Census Tract 5; Providence County; Rhode Island",0.9306,1522,169,526,735,474,416,1167,419,158,878,3643,128,0,83,194,0
"80","44007000600","Census Tract 6; Providence County; Rhode Island",0.8286,772,54,404,693,29,267,548,239,61,547,2116,102,0,94,56,224
